RoundNumber,EventName,OfficialEventName,Location,Country,Session1Date,Session5Date
0,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,Sakhir,Bahrain,2025-02-26 10:00:00+03:00,
1,Australian Grand Prix,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,2025-03-14 12:30:00+11:00,2025-03-16 15:00:00+11:00
2,Chinese Grand Prix,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,Shanghai,China,2025-03-21 11:30:00+08:00,2025-03-23 15:00:00+08:00
3,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,Suzuka,Japan,2025-04-04 11:30:00+09:00,2025-04-06 14:00:00+09:00
4,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,Sakhir,Bahrain,2025-04-11 14:30:00+03:00,2025-04-13 18:00:00+03:00
5,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,Jeddah,Saudi Arabia,2025-04-18 16:30:00+03:00,2025-04-20 20:00:00+03:00
6,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,Miami,United States,2025-05-02 12:30:00-04:00,2025-05-04 16:00:00-04:00
7,Emilia Romagna Grand Prix,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,Imola,Italy,2025-05-16 13:30:00+02:00,2025-05-18 15:00:00+02:00
8,Monaco Grand Prix,FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,Monaco,Monaco,2025-05-23 13:30:00+02:00,2025-05-25 15:00:00+02:00
9,Spanish Grand Prix,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,Barcelona,Spain,2025-05-30 13:30:00+02:00,2025-06-01 15:00:00+02:00
10,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,Montréal,Canada,2025-06-13 13:30:00-04:00,2025-06-15 14:00:00-04:00
11,Austrian Grand Prix,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,Spielberg,Austria,2025-06-27 13:30:00+02:00,2025-06-29 15:00:00+02:00
12,British Grand Prix,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,Silverstone,United Kingdom,2025-07-04 12:30:00+01:00,2025-07-06 15:00:00+01:00
13,Belgian Grand Prix,FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,Spa-Francorchamps,Belgium,2025-07-25 12:30:00+02:00,2025-07-27 15:00:00+02:00
14,Hungarian Grand Prix,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,Budapest,Hungary,2025-08-01 13:30:00+02:00,2025-08-03 15:00:00+02:00
15,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,Zandvoort,Netherlands,2025-08-29 12:30:00+02:00,2025-08-31 15:00:00+02:00
16,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025,Monza,Italy,2025-09-05 13:30:00+02:00,2025-09-07 15:00:00+02:00
17,Azerbaijan Grand Prix,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025,Baku,Azerbaijan,2025-09-19 12:30:00+04:00,2025-09-21 15:00:00+04:00
18,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025,Marina Bay,Singapore,2025-10-03 17:30:00+08:00,2025-10-05 20:00:00+08:00
19,United States Grand Prix,FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025,Austin,United States,2025-10-17 12:30:00-05:00,2025-10-19 14:00:00-05:00
20,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2025,Mexico City,Mexico,2025-10-24 12:30:00-06:00,2025-10-26 14:00:00-06:00
21,São Paulo Grand Prix,FORMULA 1 MSC CRUISES GRANDE PRÊMIO DE SÃO PAULO 2025,São Paulo,Brazil,2025-11-07 11:30:00-03:00,2025-11-09 14:00:00-03:00
22,Las Vegas Grand Prix,FORMULA 1 HEINEKEN LAS VEGAS GRAND PRIX 2025,Las Vegas,United States,2025-11-20 16:30:00-08:00,2025-11-22 20:00:00-08:00
23,Qatar Grand Prix,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2025,Lusail,Qatar,2025-11-28 16:30:00+03:00,2025-11-30 19:00:00+03:00
24,Abu Dhabi Grand Prix,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2025 ,Yas Island,United Arab Emirates,2025-12-05 13:30:00+04:00,2025-12-07 17:00:00+04:00
