RoundNumber,EventName,Location,Country,Session1Date,Session5Date
0,Pre-Season Testing,Sakhir,Bahrain,2025-02-26 10:00:00+03:00,
1,Australian Grand Prix,Melbourne,Australia,2025-03-14 12:30:00+11:00,2025-03-16 15:00:00+11:00
2,Chinese Grand Prix,Shanghai,China,2025-03-21 11:30:00+08:00,2025-03-23 15:00:00+08:00
3,Japanese Grand Prix,Suzuka,Japan,2025-04-04 11:30:00+09:00,2025-04-06 14:00:00+09:00
4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-11 14:30:00+03:00,2025-04-13 18:00:00+03:00
5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-18 16:30:00+03:00,2025-04-20 20:00:00+03:00
6,Miami Grand Prix,Miami,United States,2025-05-02 12:30:00-04:00,2025-05-04 16:00:00-04:00
7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-16 13:30:00+02:00,2025-05-18 15:00:00+02:00
8,Monaco Grand Prix,Monaco,Monaco,2025-05-23 13:30:00+02:00,2025-05-25 15:00:00+02:00
9,Spanish Grand Prix,Barcelona,Spain,2025-05-30 13:30:00+02:00,2025-06-01 15:00:00+02:00
10,Canadian Grand Prix,Montréal,Canada,2025-06-13 13:30:00-04:00,2025-06-15 14:00:00-04:00
11,Austrian Grand Prix,Spielberg,Austria,2025-06-27 13:30:00+02:00,2025-06-29 15:00:00+02:00
12,British Grand Prix,Silverstone,United Kingdom,2025-07-04 12:30:00+01:00,2025-07-06 15:00:00+01:00
13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-25 12:30:00+02:00,2025-07-27 15:00:00+02:00
14,Hungarian Grand Prix,Budapest,Hungary,2025-08-01 13:30:00+02:00,2025-08-03 15:00:00+02:00
15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-29 12:30:00+02:00,2025-08-31 15:00:00+02:00
16,Italian Grand Prix,Monza,Italy,2025-09-05 13:30:00+02:00,2025-09-07 15:00:00+02:00
17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-19 12:30:00+04:00,2025-09-21 15:00:00+04:00
18,Singapore Grand Prix,Marina Bay,Singapore,2025-10-03 17:30:00+08:00,2025-10-05 20:00:00+08:00
19,United States Grand Prix,Austin,United States,2025-10-17 12:30:00-05:00,2025-10-19 14:00:00-05:00
20,Mexico City Grand Prix,Mexico City,Mexico,2025-10-24 12:30:00-06:00,2025-10-26 14:00:00-06:00
21,São Paulo Grand Prix,São Paulo,Brazil,2025-11-07 11:30:00-03:00,2025-11-09 14:00:00-03:00
22,Las Vegas Grand Prix,Las Vegas,United States,2025-11-20 16:30:00-08:00,2025-11-22 20:00:00-08:00
23,Qatar Grand Prix,Lusail,Qatar,2025-11-28 16:30:00+03:00,2025-11-30 19:00:00+03:00
24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,2025-12-05 13:30:00+04:00,2025-12-07 17:00:00+04:00
