Abbreviation,FullName,Status
PIA,Oscar Piastri,Finished
NOR,Lando Norris,Finished
RUS,George Russell,Finished
VER,Max Verstappen,Finished
OCO,Esteban Ocon,Finished
ANT,Kimi Antonelli,Finished
ALB,Alexander Albon,Finished
BEA,Oliver Bearman,Finished
STR,Lance Stroll,Finished
SAI,Carlos Sainz,Finished
HAD,Isack Hadjar,Finished
LAW,Liam Lawson,Finished
DOO,Jack Doohan,Finished
BOR,Gabriel Bortoleto,Lapped
HUL,Nico Hulkenberg,Lapped
TSU,Yuki Tsunoda,Lapped
ALO,Fernando Alonso,Retired
LEC,Charles Leclerc,Disqualified
HAM,Lewis Hamilton,Disqualified
GAS,Pierre Gasly,Disqualified
